trial_number,set_size,stimulus,stim_position,correct_key,congruency
1,3,images/tools (1).png,0.5,z,incongruent
2,3,images/tools (2).png,0.5,m,congruent
3,3,images/tools (3).png,0.5,m,congruent
4,3,images/tools (1).png,-0.5,z,congruent
5,3,images/tools (3).png,0.5,m,congruent
6,3,images/tools (2).png,0.5,m,congruent
7,3,images/tools (2).png,0.5,m,congruent
8,3,images/tools (3).png,0.5,m,congruent
9,3,images/tools (1).png,-0.5,z,congruent
10,3,images/tools (1).png,0.5,z,incongruent
11,3,images/tools (2).png,0.5,m,congruent
12,3,images/tools (3).png,0.5,m,congruent
13,3,images/tools (1).png,0.5,z,incongruent
14,3,images/tools (3).png,-0.5,m,incongruent
15,3,images/tools (2).png,0.5,m,congruent
16,3,images/tools (2).png,0.5,m,congruent
17,3,images/tools (3).png,-0.5,m,incongruent
18,3,images/tools (1).png,-0.5,z,congruent
19,3,images/tools (3).png,0.5,m,congruent
20,3,images/tools (2).png,-0.5,m,incongruent
21,3,images/tools (1).png,-0.5,z,congruent
22,3,images/tools (1).png,-0.5,z,congruent
23,3,images/tools (3).png,0.5,m,congruent
24,3,images/tools (2).png,-0.5,m,incongruent
25,3,images/tools (2).png,-0.5,m,incongruent
26,3,images/tools (3).png,-0.5,m,incongruent
27,3,images/tools (1).png,-0.5,z,congruent
28,3,images/tools (3).png,0.5,m,congruent
29,3,images/tools (1).png,-0.5,z,congruent
30,3,images/tools (2).png,-0.5,m,incongruent
31,3,images/tools (2).png,-0.5,m,incongruent
32,3,images/tools (3).png,-0.5,m,incongruent
33,3,images/tools (2).png,0.5,m,congruent
34,3,images/tools (1).png,-0.5,z,congruent
35,3,images/tools (3).png,0.5,m,congruent
36,3,images/tools (1).png,-0.5,z,congruent
